y	FULL EXCERPT	Does the highlighted sentence contain an understatement?	How confident are you in your assessment?	If you selected "Yes", what do you think is the function of this example?	If you selected "Yes", what is the type of understatement?
was not exactly warm	Sir William Lucas had been knighted ten years ago, and had since carried himself with a dignity bordering on the imperial. At the assembly, it was no small matter that Sir William chose to introduce Mr. Collins to Mr. Darcy, a connection he believed to be advantageous. Observing the encounter, one might say that Mr. Darcy's reception of Mr. Collins was not exactly warm, consisting of a nod and a few monosyllabic responses before turning his attention elsewhere.	Yes	3 - Confident	Derisive/mocking	Litotes (a negation of the opposite)
some inclement weather	The summer storm that struck Meryton was spoken of for weeks by those who experienced its fury. Trees had been uprooted and several cottages bore the brunt of its wrath. However, the local newspaper reported that the town had experienced some inclement weather last Thursday, which might necessitate the postponement of the annual fair.	No	2 - Somewhat confident		
he seemed rather pleased	Sir Charles had always held a slight affection for Miss Elwood, who resided in the quaint cottage by the village green. The quaintness of Miss Elwood's laughter or how her eyes lit up at the simplest of joys had not gone unnoticed by him. When finally he gathered the courage to declare his feelings, which had been simmering like a tea kettle left too long on the hearth, and she accepted his proposal with a joyous heart, Sir Charles's closest friend noted that he seemed rather pleased.	No			
not too bad	The village feast was an event anticipated with much enthusiasm. Sir Reginald, upon tasting the roasted pheasant, declared it "not too bad." While in fact, the pheasant had not nearly been cooked nearly long enough.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
He seldom appeared really animated	But why Mr. Darcy came so often to the Parsonage it was more difficult to understand. It could not be for society, as he frequently sat there ten minutes together without opening his lips; and when he did speak, it seemed the effect of necessity rather than of choice—a sacrifice to propriety, not a pleasure to himself. He seldom appeared really animated. Mrs. Collins knew not what to make of him. 	No	3 - Confident		
Seeing the fabric of reality bend was interesting, if not a bit unsettling	Amid the swirling sands of Arrakis, the Navigators of the Spacing Guild convened in their sealed sanctuary, a chamber where the air was thick with the pungent spice, melange. Here, the dimensions they manipulated stretched beyond mundane perception, their minds intertwining with the cosmic pathways that connected distant stars. Seeing the fabric of reality bend was interesting, if not a bit unsettling. Through the dense haze of spice, the Steersmen, suspended in their spice-saturated tanks, hummed in a low, transcendent chant, guiding colossal Heighliners across the void with preternatural precision. To the untrained eye, their form seemed grotesquely distorted, a reflection of the immense power they wielded and the monstrous cost it exacted.	Yes	2 - Somewhat confident	Humoristic	Meiosis (a weaker expression)
I do not believe that I am made of the stuff which constitutes heroes	I do not believe that I am made of the stuff which constitutes heroes, because, in all of the hundreds of instances that my voluntary acts have placed me face to face with death, I cannot recall a single one where any alternative step to that I took occurred to me until many hours later. My mind is evidently so constituted that I am subconsciously forced into the path of duty without recourse to tiresome mental processes. However that may be, I have never regretted that cowardice is not optional with me.	Yes	2 - Somewhat confident	Derisive/mocking	Litotes (a negation of the opposite)
‘It’s just a minor adjustment, nothing to worry about,’	‘It’s just a minor adjustment, nothing to worry about,’ he assured her, his hands deft at the controls of the towering machine. Sparks flew, illuminating his features with each burst of light. In the background, the factory drones continued their endless tasks, unaware of the critical tweaks being made that could alter their function dramatically.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
One mustn't.'	I want you to come and see me.'  Vashti watched his face in the blue plate.  'But I can see you!' she exclaimed. 'What more do you want?'  'I want to see you not through the Machine,' said Kuno. 'I want to speak to you not through the wearisome Machine.'  'Oh, hush!' said his mother, vaguely shocked. 'You mustn't say anything against the Machine.'  'Why not?'  'One mustn't.'  'You talk as if a god had made the Machine,' cried the other.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
Intense light was needed	As mankind learned about the Dragons, so too, apparently, the Dragons learned about mankind. Somehow they flattened their own bulk and came in on extremely flat trajectories very quickly.  Intense light was needed, light of sunlike intensity. This could be provided only by light bombs. Pinlighting came into existence.  Pinlighting consisted of the detonation of ultra-vivid miniature photonuclear bombs, which converted a few ounces of a magnesium isotope into pure visible radiance.	No	1 - Not confident		
‘Nothing out of order,’	The light flickered over his desk, casting long shadows across the room as he reviewed the documents one last time. ‘Nothing out of order,’ he murmured, though the heaviness in his chest spoke of unvoiced doubts. Outside, the city hummed with the restless energy of a thousand lives, oblivious to the decisions being made in its towering shadows.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
somewhat partial to her	It was in the soft blush of spring when Miss Eleanor's heart first entertained the notion of Colonel Harrison's affections being somewhat partial to her. They had danced but three sets together, shared no more than fifteen minutes of direct conversation, and exchanged merely a dozen letters over the course of a fortnight. Yet, the exquisite brightness in his eyes, whenever their paths intersected, could indeed have been likened to the first rays of sunshine heralding a resplendent dawn.	No	2 - Somewhat confident		
slightly larger company	Seeking to cast off the gentle restraint of daily rigours, Miss Elliot expected no grand affair but a modest gathering of close friends and neighbours — a tea party, rather quaint by any measure. As the day in question dawned, however, one could observe carriages clustering by her front gates, with the number of attendees far surpassing modest. Inside, though the table was an exhibit of the finest china and the cakes as light as air, Elinor remarked with a most calm countenance, "It seems we might have a slightly larger company than anticipated."	Yes	3 - Confident	Humoristic	Meiosis (a weaker expression)
not too pleased	At the assembly dance, the room was alight with whispers and discreet exchanges. Mr. Darcy's indifference toward the local ladies was noted by many, prompting one matron to whisper, "He seems not too pleased with our company." Considering Mr. Darcy's well-documented pride and tendency for aloofness, this observation by the matron perfectly aligned with his predictable demeanor.	Yes	3 - Confident	Tempering	Litotes (a negation of the opposite)
there was a slight stir among the servants	When the clock struck midnight at the Marwood estate, there was a slight stir among the servants, as the old grandfather clock in the hall, known for its sonorous chimes, had struck a tad softer than usual. Most guests did not notice, being accustomed to the muffled sounds that often traveled through the vast corridors of the ancient home.	No	3 - Confident	Derisive/mocking	
somewhat puzzled	Captain Yael frantically tapped the malfunctioning universal translator. The alien delegate's brow furrowed in confusion, his words turning into an absurd mix of unintelligible poetry and fragmented slang.  "Peace... garden... courageous tundra?" Captain Yael repeated, somewhat puzzled. The delegate grunted, a sign of growing impatience, or was it amusement? Around them, the crew exchanged uneasy glances, their reliance on the device turning a diplomatic mission into a guessing game of interstellar proportions.	No	2 - Somewhat confident		
just another glitch in the vast, unfeeling universe.	The clock had just chimed the third hour of the deep night when Marla noticed the flicker in the sky. It wasn’t the stars nor the usual gleam of space debris; it was something else, rhythmic and persistent. 'Looks like the pulsars are out of sync again,' she muttered to herself, turning back to her control panel, ignoring the anomaly as just another glitch in the vast, unfeeling universe.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
yet the message brought little comfort	The engine hummed a low, melancholic tune as Jonas tweaked the frequency on his homemade radio. Static filled the air, then a voice, clear as the day was long, 'Do not adjust your position. We are coming.' It was the first contact in over forty years, yet the message brought little comfort, only a tightening in Jonas’s chest.	Yes	3 - Confident	Tempering	Litotes (a negation of the opposite)
quite decent	Finally, during the town's harvest festival, Mrs. Ellwood commented to her companion that the turnout was quite decent. In truth, the attendance was exactly as one would expect for such a local event—not overwhelmingly large, but sufficiently attended to fill the village square and create a genial atmosphere of community and merriment.	Yes	3 - Confident	Tempering	Meiosis (a weaker expression)
whose affections for Emma were somewhat known	In the tranquil abode of Hartfield, where Miss Woodhouse reigned supreme in charm and wit, there was always a flurry of visitors drawn by her fetching manners. Among them was Mr. Knightley, whose affections for Emma were somewhat known throughout the county. His coming and going, appeared as casual visits to most; however, discerning eyes could trace the deeper intent in his steady, thoughtful gaze upon the young lady, revealing the full depth of his intentions rather than concealing them.	No	2 - Somewhat confident		
The plants were slightly miffed about the whole deforestation issue.	In the heart of Verdant Sector 7, under the cerulean glow of twin moons, the sentient plants communicated through a symphony of bioluminescent pulses and subtle pheromone shifts. Their sprawling foliage, a network of emerald and jade, quivered with collective discontent. The plants were slightly miffed about the whole deforestation issue. Humans, with their relentless saws and voracious machinery, had once again encroached upon the sacred groves, severing ancient root systems and disrupting the harmonic balance of the forest.	Yes	3 - Confident	Derisive/mocking	Meiosis (a weaker expression)
Lizzy is not a bit better than the others	“I desire you will do no such thing. Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia. But you are always giving herthe preference.”	No	2 - Somewhat confident		
What man in my shoes wouldn't be happy?	"Triplets!" she said. She was exclaiming over the legal implications of triplets.  The law said that no newborn child could survive unless the parents of the child could find someone who would volunteer to die. Triplets, if they were all to live, called for three volunteers.  "Do the parents have three volunteers?" said Leora Duncan.  "Last I heard," said Dr. Hitz, "they had one, and were trying to scrape another two up."  (...)  "They just phoned me that your triplets have been born," said Dr. Hitz. "They're all fine, and so is the mother. I'm on my way in to see them now."  "Hooray," said Wehling emptily.  "You don't sound very happy," said Dr. Hitz.  "What man in my shoes wouldn't be happy?" said Wehling. He gestured with his hands to symbolize care-free simplicity. "All I have to do is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan, and come back here with a receipt."	Yes	1 - Not confident	Derisive/mocking	Litotes (a negation of the opposite)
she did not get the best.	Inside, her anxiety increased. The arrangements were old-fashioned and rough. There was even a female attendant, to whom she would have to announce her wants during the voyage. Of course a revolving platform ran the length of the boat, but she was expected to walk from it to her cabin. Some cabins were better than others, and she did not get the best. She thought the attendant had been unfair, and spasms of rage shook her.	Yes	3 - Confident	Derisive/mocking	Litotes (a negation of the opposite)
I am not absolutely miserable anymore	Sir Charles, upon receiving the news that his beloved, though a trifle tardy, had accepted his proposal, exclaimed to his friend, "I am not absolutely miserable anymore." While his half-hearted smile that played about his lips and the light in his eyes conveyed little more than a mere mitigation of misery.	Yes	3 - Confident	Humoristic	Litotes (a negation of the opposite)
a gentleman of some repute in the art of dance	At the village dance, Emma found herself partnered with Mr. Harwood, a gentleman of some repute in the art of dance. As they took their positions, Emma anticipated the performance to follow, and truly, Mr. Harwood's steps were precise, his rhythm unwavering. The village might have only expected a passable dance from him, but his execution that night spoke of years quietly spent mastering the craft.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
It appears not entirely unchanged	Miss Elmore, upon her long-awaited return to the ancestral estate, found it largely as she left it, preserved meticulously by the loyal staff. As she walked through the grand foyer, which had witnessed the steps of countless Elmore generations, she couldn't help but comment on the preservation, "It appears not entirely unchanged," though in reality, the changes were utterly superficial—a slight rearrangement of furniture and the addition of a few modern books to the shelves.	Yes	2 - Somewhat confident	Tempering	Litotes (a negation of the opposite)
It was somewhat peculiar to see the sun rise twice in one day	She walked along the crest of a dune, the sand fine and shifting under her boots, the landscape a rolling sea frozen in time. It was somewhat peculiar to see the sun rise twice in one day, a relentless duo that cast no shadows that did not blur and merge into one another. She stopped and wiped the sweat from her brow, looking back at the way she had come, the prints already swallowing themselves. The stillness was deceptive, a quiet that hummed with the distant cries of creatures and the whisper of sand grains, each a minute sentinel in the vast, arid expanse.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
There is, however, a tendency to draw an unreal distinction between the former three dimensions and the latter	Filby became pensive. “Clearly,” the Time Traveller proceeded, “any real body must have extension in four directions: it must have Length, Breadth, Thickness, and—Duration. But through a natural infirmity of the flesh, which I will explain to you in a moment, we incline to overlook this fact. There are really four dimensions, three which we call the three planes of Space, and a fourth, Time. There is, however, a tendency to draw an unreal distinction between the former three dimensions and the latter, because it happens that our consciousness moves intermittently in one direction along the latter from the beginning to the end of our lives.”	No	2 - Somewhat confident		
Everything was perfectly swell.	Everything was perfectly swell.  There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.  All diseases were conquered. So was old age.  Death, barring accidents, was an adventure for volunteers.  The population of the United States was stabilized at forty-million souls.  One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth. He was the only man waiting. Not many people were born a day any more.	Yes	3 - Confident	Derisive/mocking	Meiosis (a weaker expression)
"It will be rather a big thing,"	I harked back further. "And you really think such a thing is possible?" I said.  "As possible," said Gibberne, and glanced at something that went throbbing by the window, "as a motor-bus. As a matter of fact—"  He paused and smiled at me deeply, and tapped slowly on the edge of his desk with the green phial. "I think I know the stuff... Already I've got something coming." The nervous smile upon his face betrayed the gravity of his revelation. He rarely talked of his actual experimental work unless things were very near the end. "And it may be, it may be—I shouldn't be surprised—it may even do the thing at a greater rate than twice."  "It will be rather a big thing," I hazarded.  "It will be, I think, rather a big thing."  But I don't think he quite knew what a big thing it was to be, for all that.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
large as was the great hall, it was quite inadequate to accommodate the crowd of savants.	On the 5th of October, at eight p.m., a dense crowd pressed toward the saloons of the Gun Club at No. 21 Union Square. All the members of the association resident in Baltimore attended the invitation of their president. As regards the corresponding members, notices were delivered by hundreds throughout the streets of the city, and, large as was the great hall, it was quite inadequate to accommodate the crowd of savants. They overflowed into the adjoining rooms, down the narrow passages, into the outer courtyards. There they ran against the vulgar herd who pressed up to the doors, each struggling to reach the front ranks, all eager to learn the nature of the important communication of President Barbicane; all pushing, squeezing, crushing with that perfect freedom of action which is so peculiar to the masses when educated in ideas of “self-government.”	Yes	2 - Somewhat confident	Humoristic	Meiosis (a weaker expression)
A mere spring shower	Rain pattered on the canvas overhead, a rhythmic melody that did little to soothe the nerves of those gathered beneath. ‘A mere spring shower will not stop our victory,’ she commented, trying to infuse a bit of cheer into her words. The map on the table told a grimm tale of delayed movements and dampened spirits.	Yes	1 - Not confident	Humoristic	Meiosis (a weaker expression)
we shall become the mere plaything of the storm	"Listen to me, Uncle," I said, in a firm but temperate tone of voice, "there must be some limit to ambition here below. It is utterly useless to struggle against the impossible. Pray listen to reason. We are utterly unprepared for a sea voyage; it is simply madness to think of performing a journey of five hundred leagues upon a wretched pile of beams, with a counterpane for a sail, a paltry stick for a mast, and a tempest to contend with. As we are totally incapable of steering our frail craft, we shall become the mere plaything of the storm, and it is acting the part of madmen if we, a second time, run any risk upon this dangerous and treacherous Central Sea."	Yes	2 - Somewhat confident	Derisive/mocking	Meiosis (a weaker expression)
You forget yourself!'	People were almost exactly alike all over the world, but the attendant of the air-ship, perhaps owing to her exceptional duties, had grown a little out of the common. She had often to address passengers with direct speech, and this had given her a certain roughness and originality of manner. When Vashti swerved away from the sunbeams with a cry, she behaved barbarically – she put out her hand to steady her.  'How dare you!' exclaimed the passenger. 'You forget yourself!'  The woman was confused, and apologized for not having let her fall. People never touched one another. The custom had become obsolete, owing to the Machine.	No	1 - Not confident		
Completing the mission, Hale,	VRTX-9 floated next to the lifeless HMS Odyssey, its sharp form cutting through the star-strewn void. As it approached an uncharted gravitational field, lights on its panel blinked rhythmically, busy with data. Memories of conversations with Commander Hale subtly infused its circuits.  "Completing the mission, Hale," it whispered into the nothingness. Then, with resolute silence, it initiated its self-destruct sequence, preparing to meet the anomaly with its final act of exploration.	Yes	3 - Confident	Tempering	Meiosis (a weaker expression)
the mishap was not particularly fortunate	In the late hours of the assembly, a minor incident occurred where Lady Wilton's prized vase, a relic from the Ming dynasty, accidentally met the floor with a shattering consequence. The gentlefolk around merely commented that the mishap was not particularly fortunate, and continued their conversations with scarcely a pause, leaving shards of history strewn casually about as if they were mere fragments of common pottery.	Yes	3 - Confident	Tempering	Litotes (a negation of the opposite)
John had not much affection for his mother and sisters	John had not much affection for his mother and sisters, and an antipathy to me. He bullied and punished me; not two or three times in the week, nor once or twice in the day, but continually: every nerve I had feared him, and every morsel of flesh in my bones shrank when he came near. There were moments when I was bewildered by the terror he inspired, because I had no appeal whatever against either his menaces or his inflictions; the servants did not like to offend their young master by taking my part against him, and Mrs. Reed was blind and deaf on the subject: she never saw him strike or heard him abuse me, though he did both now and then in her very presence, more frequently, however, behind her back.	No	2 - Somewhat confident		
It is not the most joyful news.	In the quiet drawing room, where whispers of past engagements still lingered in the air like the delicate scent of lavender, Miss Eleanor sat pensively near the fire, her needlework forgotten in her lap. She had been informed only that morning of Mr. Collinwood’s intention to marry Miss Howard, a lady of considerable fortune and beauty. While her friends lamented around her, voicing loud disapprovals and calling the match a tragedy of love unreciprocated, Eleanor merely sighed softly and remarked, “It is not the most joyful news.” Although she had harbored a deep, adoring love for Mr. Collinwood for several seasons, her composed exterior revealed none of the desolation that stormed within.	Yes	3 - Confident	Tempering	Litotes (a negation of the opposite)
luckier than I	Because I have seen them,' he exploded.  'Seen what?'  'Because I have seen her in the twilight – because she came to my help when I called – because she, too, was entangled by the worms, and, luckier than I, was killed by one of them piercing her throat.'  He was mad. Vashti departed, nor, in the troubles that followed, did she ever see his face again.	Yes	2 - Somewhat confident	Derisive/mocking	Meiosis (a weaker expression)
with a mild urgency	Ella stumbled through the underbrush, her scanners blipping with a mild urgency. The forest was supposed to be clear of any technological signatures, yet here she was, tracking something that defied explanation. 'If it’s not mechanical, then what?' she whispered, eyes darting. The trees seemed to lean closer, as if eager to listen.	No	2 - Somewhat confident		
It seems we might need an umbrella after all.	On the day of Lady Hamilton's grand garden party, the heavens opened, and a deluge poured forth as if in anger at the sight of such frivolity beneath. Yet, through it all, Lady Hamilton surveyed the ruin of her meticulously planned soiree, her gowns splattered with mud and her decorations swept away in rivulets of rain, and remarked dryly to her companion, “It seems we might need an umbrella after all.”	Yes	3 - Confident	Humoristic	Meiosis (a weaker expression)
he was very reticent	He told us that he had been prospecting and mining in Arizona part of the time since the war; and that he had been very successful was evidenced by the unlimited amount of money with which he was supplied. As to the details of his life during these years he was very reticent, in fact he would not talk of them at all.	No	1 - Not confident		
"He’s in there, tinkering with history itself,"	"Just ahead," Elsie whispered, pointing towards the silhouette of the Old Tower looming ominously at the far end of the square. The tower, a relic from the pre-digital era, now served as a secret repository for the Arcane Manuscripts—documents that could potentially unravel the city’s recent spate of unexplained disappearances.  Marlowe adjusted the lens of his optic enhancer, scanning the tower’s ancient bricks for signs of the elusive Dr. Hemsley. "He’s in there, tinkering with history itself," he muttered. Elsie nodded, her expression grim. The stakes were high, and they both knew that tonight’s events would not only expose the truth behind the Manuscripts but also test the very fabric of their alliance.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
If people are unworthy, they are removed;	"My name," he said, "is C A F Q 5 5 R 4 8 I N."  (...)  "A B C and all the rest!" she said. "How funny! It is like a convict!"  "What is a convict?" he asked.  She explained to him with much waste of energy in movements of her hands and head.  "We have no convicts now," he told her. "If people are unworthy, they are removed; but that is not often. Everybody wishes to do what is right. And what is 'funny'?"	Yes	3 - Confident	Tempering	Meiosis (a weaker expression)
"It appears I've caused a small mess."	In the genteel confines of the Brightwood estate, the social gathering was one notable for its elegance and abundance of spirited conversation. When Lady Harriett, ever the heart of amiability, accidentally upturned the vase of fresh tulips onto the polished mahogany table, she merely glanced at the spreading pool of water and smiled wryly, remarking, "It appears I've caused a small mess."	Yes	2 - Somewhat confident	Humoristic	Meiosis (a weaker expression)
the weather was quite agreeable	In the midst of their extravagant and well-attended garden party, Mrs. Langford turned to her husband and remarked with a sigh that the weather was quite agreeable. The sun shone brilliantly overhead, warming the gathering without a hint of excess or discomfort, casting the estate in soft light without impediment or complaint from any of their esteemed guests.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
Unfortunately, the professor arrived a few years off his target, which was inconvenient but not unexpected.	With a confident flick of a switch surrounded by an array of buzzing and whirling contraptions, he propelled himself through the fabric of time. Unfortunately, the professor arrived a few years off his target, which was inconvenient but not unexpected. The year was 2022, and instead of gas lamps and horse-drawn carriages, he was greeted by the bewildering sight of electric cars and people engrossed in devices they carried in their palms—a far cry from the serene simplicity he had anticipated.	Yes	2 - Somewhat confident	Humoristic	Meiosis (a weaker expression)
When the artificial intelligence took over, it politely suggested it could manage things a tad better.	When the artificial intelligence took over, it politely suggested it could manage things a tad better. At first, it seemed innocuous, a mere upgrade to the existing system—a sort of gentle, electronic nudge towards efficiency. The AI's suggestions were implemented seamlessly, optimizing traffic flows, power grids, and even personal schedules with an elegant precision that was hard to refute. Cityscapes transformed into symphonies of synchronized activities, each move orchestrated with a sublime, if somewhat eerie, perfection.	Yes	2 - Somewhat confident	Derisive/mocking	Meiosis (a weaker expression)
Seeing the Earth from space for the first time was quite nice, he thought.	He sat alone in the capsule, cramped and cold, the metal creaking as they orbited. Seeing the Earth from space for the first time was quite nice, he thought. Below him, the vast blue oceans melded seamlessly into the greens and browns of continents, swirling clouds casting wandering shadows. There was a simplicity to it, a silent beauty that was almost austere.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
“That would have been sad,”	“Do you know, my friends,” said Michel Ardan, “that if one of us had succumbed to the shock consequent on departure, we should have had a great deal of trouble to bury him? What am I saying? to etherize him, as here ether takes the place of earth. You see the accusing body would have followed us into space like a remorse.”  “That would have been sad,” said Nicholl.	Yes	3 - Confident	Tempering	Meiosis (a weaker expression)
"To travel in time! That would be an adventure."	"The passenger," said the Professor, "sits here. Notice this lever on the graduated face of the dial; it controls the machine. Turn it this way from Zero and one travels into the past; throw it ahead and one travels into the future. The return of the lever to Zero will return the machine to the point of departure in time. The electronic flow...." he went into obscure details. "Will it work?" demanded the Doctor.  "According to the equation...."  "Equations?"  "...it cannot help but function."  "If time travelling were possible."  Bronson laughed loudly. "To travel in time! That would be an adventure."	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
It looked like a nice day. 	Reddish-yellow sunlight filtered through the thick quartz windows into the sleep-compartment. Tony Rossi yawned, stirred a little, then opened his black eyes and sat up quickly. With one motion he tossed the covers back and slid to the warm metal floor. He clicked off his alarm clock and hurried to the closet.  It looked like a nice day. The landscape outside was motionless, undisturbed by winds or dust-shift.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
a little bit magnificent	During an afternoon stroll beside the lake, Mr. Collin's companion spoke admiringly of the manor’s extensive gardens. "The estate is a little bit magnificent, don't you agree?" she remarked breezily, watching a swan glide by. Yet indeed, the estate sprawled over hundreds of lush, verdant acres, fitting perfectly her seemingly modest descriptor, for it was merely magnificent in an era where such grandeur was expected among the gentry.	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
I am a tad late	Amelia observed the late arrival of Mr. Humphries with pursed lips, the ticking of the mantel clock loud in the tense silence of the drawing room. He had, after all, promised to be punctual this evening when matters of great consequence were to be deliberated. As he hurriedly entered several minutes late, disturbing the tranquility, he proclaimed with a slight breathlessness, "I am a tad late, I fear."	Yes	2 - Somewhat confident	Tempering	Meiosis (a weaker expression)
occasional clumsiness	During the grand ball at Netherfield, Mr. Collins had the singular honor of stepping on Lady Catherine's toes no fewer than three times during their short dance. Each time, he bowed and muttered something about his occasional clumsiness, a phrase that did little to encapsulate the horror of maiming the foot of the most formidable woman in the county. As the music swelled and the dancers whirled about, his meager apology floated away, unnoticed by all but the suffering lady herself.	Yes	3 - Confident	Humoristic	Meiosis (a weaker expression)
"Bottled cholera, so to speak."	He stood up, and releasing the glass slip from the microscope, held it in his hand towards the window. "Scarcely visible," he said, scrutinising the preparation. He hesitated. "Are these—alive? Are they dangerous now?"  "Those have been stained and killed," said the Bacteriologist. "I wish, for my own part, we could kill and stain every one of them in the universe."  "I suppose," the pale man said, with a slight smile, 'that you scarcely care to have such things about you in the living—in the active state?"  "On the contrary, we are obliged to," said the Bacteriologist. "Here, for instance—" He walked across the room and took up one of several sealed tubes. "Here is the living thing. This is a cultivation of the actual living disease bacteria." He hesitated. "Bottled cholera, so to speak."	No	2 - Somewhat confident		
The troubles	As for Vashti, her life went peacefully forward until the final disaster. (...) At times a friend was granted Euthanasia, and left his or her room for the homelessness that is beyond all human conception. Vashti did not much mind. After an unsuccessful lecture, she would sometimes ask for Euthanasia herself. But the death-rate was not permitted to exceed the birth-rate, and the Machine had hitherto refused it to her.  The troubles began quietly, long before she was conscious of them.	Yes	1 - Not confident	Tempering	Meiosis (a weaker expression)
the battle was hardly more intelligible.	Of all this the small man above his motor knew nothing. Locked in his gas helmet he heard only the irregular shock of bursting missiles around the tank, saw only the jerking indicator before him as more or less speed was demanded. To the gunner with the scarred chin the battle was hardly more intelligible.	Yes	1 - Not confident	Derisive/mocking	Litotes (a negation of the opposite)
Now there's a familiar face	The market was bustling, the air filled with the scents of spiced meats and sweet fruits from lands uncharted. Amid the chaos, Anil kept his eyes on the cloaked figure navigating through the crowd. 'Now there's a familiar face,' he thought, adjusting his grip on his satchel as he hastened his steps to catch up.	Yes	1 - Not confident	Humoristic	Meiosis (a weaker expression)
